lemma;variant;domain
adwokatura;1;11
adynamia;1;19
aedicula;1;3
aeracja;1;16
aeracja;2;19
aeracja;3;2
aerator;1;3
aerator;2;3
aerenchyma;1;14
aerobik;1;2
aerobus;1;3
aerocasco;1;26
aerodrom;1;12
aerodyna;1;3
aerodynamika;1;6
aeroenergetyka;1;18
aerofagia;1;16
aerofiniszer;1;3
aerofit;1;17
aerofobia;1;9
aerofon;1;3
aerograf;1;3
aeroklub;1;26
aerolit;1;14
aerolog;1;15
aerologia;1;6
aeromechanika;1;6
aeronauta;1;15
aeronautka;1;15
aeronautyka;1;26
aeroplan;1;3
aeroport;1;12
aerosanie;1;3
aerostat;1;3
aerostatyka;1;6
aeroterapia;1;2
aerotonon;1;3
aerozol;1;24
aerozol;2;3
aF;1;20
Af;2;20
afatyk;1;15
afazja;1;19
afazja amnestyczna;1;19
afekt;1;9
afekt;2;9
afektacja;1;4
afelium;1;12
afera;1;8
afera;2;8
aferzysta;1;15
aferzysta;2;15
aferzysta;3;15
aferzystka;1;15
aferzystka;2;15
aferzystka;3;15
Affenpinscher;1;21
afgan;2;3
afgan;3;21
Afgan;4;15
afgani;2;20
Afganistan;1;12
Afganka;1;15
Afganka;2;15
Afgańczyk;1;15
afghani;1;20
afiks;1;7
afiksacja;1;16
afiliacja;1;26
afiliacja;2;2
afiliacja;3;9
afiliowanie;1;2
afinacja;1;2
afirmacja;1;7
afirmant;1;15
afirmowanie;1;2
afisz;1;3
afiszer;1;15
afiszowanie;1;2
afiszowanie się;1;2
aflaston;1;3
aflatoksyna;1;24
AFN;1;20
afonia;1;23
aforysta;1;15
aforystka;1;15
aforystyczność;1;4
aforystyka;1;11
aforystyka;2;2
aforystyka;3;26
aforyzm;1;7
afrikaans;1;7
afro;1;3
Afroamerykanin;1;15
Afroamerykanka;1;15
afrodyzjak;1;24
afront;1;9
Afryka;1;12
Afryka Południowa;1;11
Afryka Północna;1;11
Afryka Północno-Wschodnia;1;12
Afryka Środkowa;1;11
Afryka Wschodnia;1;11
Afryka Zachodnia;1;11
afrykaner;1;15
afrykanerka;1;15
Afrykanin;1;15
afrykanista;1;15
afrykanistka;1;15
afrykanistyka;1;12
afrykanistyka;2;6
afrykanizacja;1;2
afrykanizacja;2;2
afrykanizowanie;1;2
afrykanizowanie;2;2
Afrykanka;1;15
Afrykańczyk;1;15
afrykata;1;7
afta;1;16
Ag;1;24
aga;1;21
agalmatolit;1;14
agama;1;21
agama błotna;1;21
agama kołnierzasta;1;21
agama niebieskogłowa;1;21
agama perska;1;21
agama synajska;1;21
agama wodna;1;21
agama żaglowa;1;21
agamowate;1;46
agapa;1;19
agapant;1;17
agapant;2;17
agapant afrykański;1;17
agapanty;1;46
agar;1;24
