lemma;variant;domain
adresograf;1;wytw
adresowanie;1;czy
adresowanie;2;czy
Adriatyk;1;msc
adsorbat;1;sbst
adsorbent;1;sbst
adsorber;1;wytw
adsorpcja;1;prc
adular;1;rz
advocatus diaboli;1;os
adwekcja;1;zj
adwent;1;czas
adwentysta;1;os
adwentystka;1;os
adwentyzm;1;zwz
adwerbalizacja;1;zj
adwersarka;1;os
adwersarz;1;os
adwokacina;1;os
adwokat;1;os
adwokat;2;os
adwokat;3;jedz
adwokat diabła;1;os
adwokat z urzędu;1;os
adwokatka;1;os
adwokatowanie;1;czy
adwokatura;1;grp
adynamia;1;prc
aedicula;1;wytw
aeracja;1;zj
aeracja;2;prc
aeracja;3;czy
aerator;1;wytw
aerator;2;wytw
aerenchyma;1;rz
aerobik;1;czy
aerobus;1;wytw
aerocasco;1;zwz
aerodrom;1;msc
aerodyna;1;wytw
aerodynamika;1;umy
aeroenergetyka;1;pos
aerofagia;1;zj
aerofiniszer;1;wytw
aerofit;1;rsl
aerofobia;1;czuj
aerofon;1;wytw
aerograf;1;wytw
aeroklub;1;zwz
aerolit;1;rz
aerolog;1;os
aerologia;1;umy
aeromechanika;1;umy
aeronauta;1;os
aeronautka;1;os
aeronautyka;1;zwz
aeroplan;1;wytw
aeroport;1;msc
aerosanie;1;wytw
aerostat;1;wytw
aerostatyka;1;umy
aeroterapia;1;czy
aerotonon;1;wytw
aerozol;1;sbst
aerozol;2;wytw
aF;1;il
Af;2;il
afatyk;1;os
afazja;1;prc
afazja amnestyczna;1;prc
afekt;1;czuj
afekt;2;czuj
afektacja;1;cech
afelium;1;msc
afera;1;zdarz
afera;2;zdarz
aferzysta;1;os
aferzysta;2;os
aferzysta;3;os
aferzystka;1;os
aferzystka;2;os
aferzystka;3;os
Affenpinscher;1;zw
afgan;2;wytw
afgan;3;zw
Afgan;4;os
afgani;2;il
Afganistan;1;msc
Afganka;1;os
Afganka;2;os
Afgańczyk;1;os
afghani;1;il
afiks;1;por
afiksacja;1;zj
afiliacja;1;zwz
afiliacja;2;czy
afiliacja;3;czuj
afiliowanie;1;czy
afinacja;1;czy
afirmacja;1;por
afirmant;1;os
afirmowanie;1;czy
afisz;1;wytw
afiszer;1;os
afiszowanie;1;czy
afiszowanie się;1;czy
aflaston;1;wytw
aflatoksyna;1;sbst
AFN;1;il
afonia;1;st
aforysta;1;os
aforystka;1;os
aforystyczność;1;cech
aforystyka;1;grp
aforystyka;2;czy
aforystyka;3;zwz
aforyzm;1;por
afrikaans;1;por
afro;1;wytw
Afroamerykanin;1;os
Afroamerykanka;1;os
afrodyzjak;1;sbst
afront;1;czuj
Afryka;1;msc
Afryka Południowa;1;grp
Afryka Północna;1;grp
Afryka Północno-Wschodnia;1;msc
Afryka Środkowa;1;grp
Afryka Wschodnia;1;grp
Afryka Zachodnia;1;grp
afrykaner;1;os
afrykanerka;1;os
Afrykanin;1;os
afrykanista;1;os
afrykanistka;1;os
afrykanistyka;1;msc
afrykanistyka;2;umy
afrykanizacja;1;czy
afrykanizacja;2;czy
afrykanizowanie;1;czy
afrykanizowanie;2;czy
Afrykanka;1;os
Afrykańczyk;1;os
afrykata;1;por
afta;1;zj
Ag;1;sbst
aga;1;zw
agalmatolit;1;rz
agama;1;zw
agama błotna;1;zw
agama kołnierzasta;1;zw
agama niebieskogłowa;1;zw
agama perska;1;zw
agama synajska;1;zw
agama wodna;1;zw
agama żaglowa;1;zw
agamowate;1;sys
agapa;1;prc
agapant;1;rsl
agapant;2;rsl
agapant afrykański;1;rsl
agapanty;1;sys
agar;1;sbst
agar;2;rsl
agar-agar;1;sbst
agat;1;rz
agawa;1;rsl
agawa sizalowa;1;rsl
agawowate;1;sys
agencja;1;msc
agencja;2;grp
agencja;3;grp
agencja;4;grp
agencja detektywistyczna;1;grp
agencja kosmiczna;1;grp
agencja modelek;1;grp
agencja modelingowa;1;grp
agencja modelingu;1;grp
agencja ochroniarska;1;grp
agencja ochrony;1;grp
agencja prasowa;1;grp
agencja reklamowa;1;grp
agencja rządowa;1;grp
agencja towarzyska;1;msc
agenda;1;msc
agenda;2;grp
agenezja;1;prc
agenezja ciała modzelowatego;1;prc
agenezja nerki;1;prc
agens;1;zwz
agens;2;bhp
agent;1;os
agent;2;os
agent;3;os
agent;4;os
agent;5;os
agent;6;os
agent;7;os
agent;8;umy
agent celny;1;os
agent gospodarczy;1;zwz
agent kontraktowy;1;os
agent nieruchomości;1;os
agent obcego wywiadu;1;os
agent ochrony;1;os
agent ubezpieczeniowy;1;os
agent wpływu;1;os
agent wywiadu;1;os
agentka;2;os
agentka;3;os
agentka;4;os
agentka;5;os
agentka;6;os
agentka;7;os
agentura;1;grp
agentura;2;msc
agenturalność;1;cech
agflacja;1;zj
agitacja;1;zdarz
agitator;1;os
agitatorka;1;os
agitka;1;wytw
agitowanie;1;czy
aglomeracja;1;msc
aglomerat;1;rz
aglomerat;2;sbst
aglomerownia;1;wytw
aglutynacja;1;zj
aglutynina;1;sbst
agnat;1;os
agnatka;1;os
