lemma;domain;distance
frankofob;os;9
frankofon;os;7
frant;os;5
frant;os;7
fraszkopisarz;os;9
frater;os;9
fratria;grp;2
frazeolog;os;9
frazesowicz;os;7
fregata;zw;8
frenolog;os;8
fretka;zw;6
freudysta;os;8
frezer;os;9
fronda;grp;3
front;grp;3
frontman;os;5
frontowiec;os;7
frustrat;os;8
frutarianin;os;8
fryc;os;7
fryga;os;7
fryszerka;msc;7
fryz;zw;6
fryz;zw;9
fryzjer;msc;7
fryzjer;os;7
ftyzjatra;os;11
ftyzjolog;os;11
fugu;zw;9
fujara;os;7
fuks;os;7
fuks;zw;10
fuksiarz;os;6
fulmar;zw;8
fundacja;zwz;3
fundamentalista;os;7
fundator;os;6
fundator;os;7
fundusz;zwz;3
fundusz inwestycyjny;zwz;4
funkcjonalista;os;8
funkcjonariusz;os;8
furażer;os;7
furfant;os;7
furiat;os;10
furiat;os;7
furiatka;os;7
furman;os;9
furtian;os;6
fuszer;os;5
futbolista;os;6
futbolista;os;7
futrzak;zw;4
futrzarz;os;6
futurolog;os;7
futurysta;os;10
fykolog;os;9
gabinet;grp;3
gabinet figur woskowych;msc;5
gabinet kosmetyczny;msc;7
gabinet mniejszościowy;grp;4
gabinet odnowy;msc;8
gabinet polityczny;grp;4
gabinet większościowy;grp;4
gąbka;zw;5
gacek;zw;9
gacek brunatny;zw;10
gacek szary;zw;10
gach;os;7
gach;zw;5
gad;zw;7
gadająca głowa;os;8
gadożer;zw;7
gaduła;os;6
gadżeciarz;os;8
gadzina;os;8
gadzina;zw;5
gadzina;zw;7
gadzio;os;5
gagatek;os;6
gagman;os;9
gągoł;zw;9
gągoł krzykliwy;zw;9
gajówka;zw;9
gajowy;os;10
Gal;os;7
galago;zw;4
galant;os;7
galasówka;zw;7
galeria;grp;7
galeria;msc;5
galeria;msc;6
galernik;os;6
galernik;os;7
gałgan;os;5
gałganiarz;os;8
Galilejczyk;os;7
gallikanin;os;8
galloman;os;10
galwanizator;os;6
galwanizer;os;6
galwanotechnik;os;8
gambuzja;zw;5
gambuzja pospolita;rsl;6
gamoń;os;7
gang;grp;3
gangster;os;8
gap;os;7
gapa;os;7
gapa;zw;8
gapowicz;os;5
garbarnia;msc;8
garbarz;os;6
garbatka dromaderka;zw;9
garbus;os;8
garderobiany;os;8
garkotłuk;os;7
garkuchnia;msc;9
garkuchnia;zwz;5
garłacz;zw;9
garmażeria;msc;7
garncarz;os;7
garnizon;grp;5
garść;grp;2
garson;os;7
garson;os;8
garstka;grp;2
gąsiątko;os;8
gąsienica;zw;5
gąsior;zw;5
gąsiorek;zw;6
gąsiorek;zw;9
gąska;zw;9
gastarbeiter;os;7
gastroenterolog;os;10
gastrolog;os;10
gastronom;os;7
gastronom;os;8
gastronomik;os;7
gastronomik;os;8
gastryk;os;7
gaullista;os;8
gawędziarz;os;9
gawial;zw;9
gawiedź;grp;3
gawron;zw;8
gazda;os;4
gazdostwo;grp;4
gazdostwo;msc;8
gazdowie;grp;4
gazdówka;msc;8
gazdy;grp;4
gaździna;os;8
gazeciarz;os;5
gazela;zw;7
gazeta;grp;4
gaziarz;os;7
gaźnikowiec;os;10
gazoliniarnia;msc;7
gazownia;msc;7
gazownik;os;6
gazownik;os;7
gbur;os;6
gdańszczanin;os;7
gderacz;os;7
gdynianin;os;7
gęba;os;6
geek;os;8
gęgawa;zw;8
gej;os;7
gejsza;os;7
gekon;zw;9
gemmolog;os;8
genealog;os;8
generał;grp;7
generał;os;12
generał;os;6
generał;os;8
generalicja;grp;6
generałostwo;grp;4
generałowa;os;8
genetyk;os;8
geniusz;os;6
gentleman;os;6
geochemik;os;8
geodeta;os;8
geofizyk;os;7
geograf;os;7
geolog;os;6
geometra;os;8
geomorfolog;os;7
geotechnik;os;9
gepard;zw;7
gereza;zw;10
geriatra;os;11
germanista;os;11
germanista;os;9
germanizator;os;7
germanofil;os;9
germanofob;os;9
geront;os;8
gerontofil;os;7
gerontolog;os;11
geruzja;grp;3
gerylas;os;9
gęś;zw;8
gęś białoczelna;zw;8
gęś domowa;zw;8
gęś gęgawa;zw;8
gęsiarek;os;8
gęsiarz;os;8
gęsiarz;zw;6
gęsiarz;zw;7
gęsior;zw;5
gęsiówka;zw;8
gęsiówka egipska;zw;9
gęsiówka grzywiasta;zw;9
gęślarz;os;11
gestapo;grp;5
gestapowiec;os;8
gestor;os;6
gestykulator;os;6
gęś zbożowa;zw;8
geszefciarz;os;8
getto;grp;3
Ghańczyk;os;6
ghul;os;4
ghula;os;4
giaur;os;7
gibelin;os;9
gibon;zw;4
gibon białoręki;zw;5
gibon czarnoręki;zw;5
gibon srebrzysty;zw;5
gid;os;6
gidia;os;8
giełda;msc;4
giełda;msc;5
giełda papierów wartościowych;msc;5
giełda towarowa;msc;5
giełdowiec;os;8
giełdziarz;os;8
giermek;os;6
gieroj;os;7
giez;zw;7
gigant;os;4
gigant;os;6
gigant;zw;4
gigantozaur;zw;6
gigolo;os;7
gigolo;os;8
gil;zw;8
gildia;grp;3
gilotyniarz;os;8
gil zwyczajny;zw;8
gimnastyk;os;6
gimnazjalista;os;6
gimnazjum;umy;6
ginekolog;os;10
gipsiarz;os;8
girlsband;grp;6
giser;os;7
git;os;6
gitarzysta;os;10
gitowiec;os;6
głąb;os;8
głąb kapuściany;os;8
glacjolog;os;9
gladiator;os;7
gładyszek mrowiskowy;zw;8
glazurnik;os;8
gleboznawca;os;7
ględa;os;7
glina;os;8
gliniarz;os;8
glista;os;9
glista;zw;5
glista;zw;6
gliwiczanin;os;7
globalista;os;7
globtroter;os;8
głodomór;os;8
głogowianin;os;7
glonojad;zw;7
gloryfikator;os;7
głos;grp;2
głos;os;10
glosator;os;7
glosator;os;8
głosiciel;os;6
głowa;os;5
głowa;os;7
głowacica;zw;7
głowacz;zw;7
głowa domu;os;6
głowa Kościoła;os;6
głowa państwa;os;6
głowa rodziny;os;6
głowienka;zw;8
głównodowodzący;os;6
główny księgowy;os;8
głowonóg;zw;6
głuchy;os;8
głupek;os;6
głupek;os;7
głupi;os;6
głupiec;os;7
głuptak;os;9
głuptak;zw;8
głuptak biały;zw;8
głuptas;os;7
głuszec;zw;8
głuszek;wytw;8
gmachówka cieśla;zw;8
gmachówka drzewotoczna;zw;8
gmachówka drzewożerna;zw;8
gmin;grp;3
gmina;zwz;5
gmina wyznaniowa;zwz;4
gnatarz rzepakowiec;zw;7
gnębiciel;os;9
gniada;zw;11
gniadosz;zw;10
gniady;zw;10
gniazdo;zwz;4
gniazdówka;zw;7
gniazdownik;zw;7
gnida;os;9
gniewosz plamisty;zw;9
gnój;os;7
gnój;os;8
gnojak;zw;9
gnojek;os;7
gnom;zw;4
gnostyk;os;8
gobeliniarz;os;7
goblin;os;3
goblin;os;4
godny przeciwnik;os;7
godzilla;zw;5
goguś;os;8
goj;os;6
gołąb;zw;8
gołąbek;os;7
gołąbka;os;7
gołąb pocztowy;zw;9
golarz;os;8
golas;os;5
golas;os;6
gołębiarz;os;10
gołębica;os;7
golec;os;5
golem;os;8
golfista;os;6
golgota;zw;6
goliard;os;6
goliat;os;7
golibroda;os;8
golkiper;os;7
gołodupiec;os;5
gołowąs;os;7
gonciarz;os;9
gończak;zw;8
gondolier;os;6
gongorysta;os;9
goniec;os;6
goniec;os;8
gonokok;zw;5
goplana;os;7
goprowiec;os;8
GOPR-owiec;os;8
góra;grp;2
gorąca głowa;os;7
gorąca krew;os;7
gorączka;os;7
góral;os;7
góralek;zw;9
góra mięsa;os;8
góra tłuszczu;os;8
gorbusza;zw;10
gordon seter;zw;10
gorgona;zw;4
gorliczanin;os;7
gorliwiec;os;7
górniczka;os;8
górnik;os;5
górnik odkrywkowy;os;6
gorol;os;8
gorszyciel;os;8
goryl;os;8
goryl;zw;4
gorzelnia;msc;8
gorzelnik;os;7
gorzelnik;os;8
gorzowianin;os;7
gość;os;4
gość;os;5
gość;os;6
gość;os;7
gość honorowy;os;7
gościówa;os;7
gościu;os;7
gospoda;msc;8
gospodarka;msc;7
gospodarstwo;msc;7
gospodarstwo;pos;2
gospodarstwo domowe;grp;4
gospodarstwo domowe;pos;2
gospodarz;os;3
gospodarz;os;6
gospodarz;os;8
gospodarz domu;os;8
gospodyni;os;7
gospodyni;os;8
gospodyni domowa;os;8
gosposia;os;8
got;os;6
goth;os;6
gotycysta;os;8
gówniarz;os;6
gówniarz;os;7
grabarka;os;8
grabarz;os;7
grabiciel;os;10
grabieżca;os;9
grabołusk;zw;9
graciarz;os;5
gracz;os;5
gracz;os;6
gracz giełdowy;os;8
gracz w karty;os;6
graf;os;8
grafficiarz;os;10
grafik;os;7
grafik;os;9
grafolog;os;6
grafoman;os;7
grajek;os;10
gramatyk;os;8
granatowa policja;zwz;5
granatowy;os;8
grand;os;8
granda;grp;3
granda;grp;5
grandziarz;os;7
graptolit;zw;5
grasant;os;10
grasownik;os;7
grawer;os;7
grecysta;os;11
grecysta;os;8
Grek;os;6
Grek;os;8
grekofil;os;9
grekokatolik;os;7
gremium;grp;3
grenadier;os;8
gręplarz;os;8
greyhound;zw;10
gringo;os;6
grizli;zw;10
grizzly;zw;10
gromada;grp;2
gromiciel;os;11
gromowładca;os;4
gronkowiec;zw;5
gronkowiec złocisty;zw;6
grono;grp;2
gronostaj;zw;5
groszorób;os;6
groteskopisarz;os;8
grotnik;os;6
grotnik;zw;6
grotołaz;os;7
gruba ryba;os;5
grubas;os;7
grubianin;os;6
grubianka;os;7
grubodziób;zw;8
grubodziób;zw;9
grubodziób białoskrzydły;zw;9
grubodziób zwyczajny;zw;9
gruby;os;7
gruchot;os;8
grunciarz;os;8
grupa;grp;1
grupa;grp;2
grupa;grp;7
grupa eliminacyjna;grp;3
grupa interesu;grp;3
grupa ludzi;grp;1
grupa nacisku;grp;3
grupa poetycka;grp;2
grupa ryzyka;grp;2
grupa szturmowa;grp;5
grupka;grp;2
Gruzin;os;6
gruźlik;os;7
gryf;zw;3
gryfon;zw;8
grymaśnik;os;7
grypser;os;7
grypsera;grp;2
gryzipiórek;os;7
gryzipiórek;os;8
gryzmoła;os;7
gryzmoła;os;8
gryzoń;zw;8
gryzuń półpawik;zw;10
grzbiecista;os;8
grzbietopławek;zw;6
grzbietoród;zw;8
grzbietoród amerykański;zw;9
grzebacz;zw;7
grzechotnik;zw;9
grzeczniś;os;9
grzesznik;os;6
grzyb;os;8
grzybiarz;os;6
grzyboznawca;os;7
grzywacz;zw;8
guanako;zw;9
gubernator;os;6
gubernatorostwo;grp;4
gubernatorowa;os;8
gudłaj;os;9
gumiennik;os;4
gumowe ucho;os;8
guniak czerwczyk;zw;8
gupik;zw;7
guru;os;7
guru;os;9
guślarz;os;6
guwerner;os;7
guzdrała;os;8
guziec;zw;8
guzikarz;zw;6
gwałciciel;os;8
gwałtownik;os;7
gwanako;zw;9
gwarant;os;2
gwardia;grp;5
gwardia;grp;6
gwardian;os;6
gwardia pretoriańska;grp;7
gwardia przyboczna;grp;6
gwardzista;os;8
gwarectwo;grp;3
gwarek;os;6
gwarek;zw;8
gwaroznawca;os;9
gwelf;os;9
gwiazda;os;7
gwiazda pierwszej wielkości;os;8
gwiazdarz;os;9
gwiazdor;os;7
Gwinejczyk;os;6
gwizdacz;os;8
gwoździarnia;msc;8
gynandromorf;rz;7
gżegżółka;zw;9
habilitant;os;7
hadrozaur;zw;7
hafciarz;os;6
haftarz;os;7
hagiograf;os;10
hagiograf;os;8
hajdamak;os;7
hajdamaka;os;7
hajduk;os;8
hajduk;os;9
hakata;zwz;3
haker;os;7
halabardnik;os;8
halabardzista;os;8
hałaburda;os;8
hałasownik;os;9
hałastra;grp;2
halibut;zw;7
hallerczyk;os;8
hamadriada;os;5
hamernia;msc;6
hamernik;os;9
hańbiciel;os;7
handlarz;os;6
handlowiec;os;4
handlówka;zwz;4
hanuman;zw;10
hanys;os;7
hanza;grp;4
harcerstwo;grp;3
harcerz;os;6
harcerz;os;7
harcmistrz;os;7
harcownik;os;7
hardrockowiec;os;6
harem;grp;2
harfiarz;os;10
harfista;os;10
harleyowiec;os;6
harmonista;os;11
harnaś;os;9
harpagon;os;7
harpia;os;7
harpia;zw;4
harpia;zw;7
harpunnik;os;6
hartowacz;os;9
hartownik;os;9
hastatus;os;7
hatteria;zw;8
hazardzista;os;6
hazardzista;os;7
hebertysta;os;9
hebraista;os;9
Hebrajczyk;os;8
hedonista;os;5
hegemon;grp;5
hegemon;os;5
heglista;os;8
hejnalista;os;11
Hellen;os;6
Hellen;os;9
hellenista;os;8
hellenofil;os;9
helmut;os;7
heloderma;zw;9
helota;os;7
Helweta;os;8
hematolog;os;10
hemofilik;os;7
hemofilityk;os;7
heptarchia;grp;4
heraldyk;os;8
herbaciarnia;msc;9
herbowiec;os;7
Hercegowińczyk;os;7
heretyk;os;6
heretyk;os;7
herezjarcha;os;7
herkules;os;6
herod-baba;os;7
heroinista;os;8
herold;os;6
heroldia;zwz;5
heros;os;3
heros;os;6
herpetolog;os;9
herszt;os;8
hetera;os;10
hetera;os;7
hetero;os;7
heteroseksualista;os;6
heteryk;os;7
hetka-pętelka;os;6
hetman;os;8
hetmanostwo;grp;4
hetmanowa;os;8
hetman polny;os;9
hetman sahajdaczny;os;9
hetman wielki;os;9
hetytolog;os;9
hidalgo;os;7
hiena;zw;7
hiena cmentarna;os;9
hierarcha;os;4
hierarcha;os;9
hierarchia;grp;3
hierofant;os;5
hierofant;os;7
high life;grp;3
higienista;os;10
higienista;os;8
himalaista;os;7
hinduista;os;8
hinduista;os;9
Hindus;os;6
hiparion;zw;5
hipermarket;msc;8
hipermocarstwo;grp;7
hiperrealista;os;10
hipertensjolog;os;10
hiphopowiec;os;6
hipis;os;6
hipisi;grp;4
hipnoterapeuta;os;10
hipnotyzer;os;6
hipochondryk;os;7
hipogryf;zw;3
hipokryta;os;8
hipolog;os;9
hipopotam;zw;8
hipostaza;st;4
hipoterapeuta;os;11
hipparion;zw;5
hippis;os;6
hippisi;grp;4
hipuryt;zw;5
histeryk;os;7
histeryk;os;9
histolog;os;8
histopatolog;os;9
historiograf;os;8
historion;os;6
historiozof;os;8
historyk;os;12
historyk;os;7
historyk IPN;os;8
historyk kultury;os;8
historyk literatury;os;8
historyk sztuki;os;8
historyk ze względu na epokę zainteresowania;os;8
Hiszpan;os;6
hitlerowiec;os;11
hoacyn;zw;8
hobbista;os;6
hobbit;os;3
hobbysta;os;6
hochsztapler;os;7
hodowca;os;9
hokeista;os;6
hokejówka;zw;7
hokejówka amazońska;zw;8
hokejówka krótkopręga;zw;8
holding;pos;5
hołdownik;os;5
hołdownik;os;7
Holender;os;6
holenderka;zw;6
hołota;grp;2
holotyp;zj;4
hołysz;os;5
homar;zw;7
homeopata;os;9
homiletyk;os;8
homiletyk;os;9
hominid;zw;8
homo;os;7
homo erectus;os;6
homofob;os;8
homo novus;os;7
homoś;os;7
homo sapiens;os;4
homo sapiens neanderthalensis;os;6
homoseksualista;os;6
homoseksualistka;os;6
homunkulus;os;7
honwed;os;7
hoplita;os;8
horda;grp;2
horda;grp;3
horda;msc;8
hortolog;os;8
horyzont;grp;2
hospicjum;msc;4
hospitant;os;7
hotelarz;os;4
Hotentot;os;6
hrabia;os;8
hrabianka;os;10
hrabicz;os;7
hrabina;os;8
hrabini;os;8
hrabiostwo;grp;4
hreczkosiej;os;7
hubalczyk;os;9
hucpiarz;os;6
Hucuł;os;8
hucuł;zw;10
hufcowy;os;7
hugenot;os;11
hugonot;os;11
hulaka;os;6
hulman;zw;10
hultaj;os;5
hultajstwo;grp;4
humanista;os;6
humanista;os;8
humanitarysta;os;7
humanizator;os;8
humanoid;rz;2
humbak;zw;10
humorysta;os;8
huncwot;os;6
hungarysta;os;9
hunter;zw;10
hunwejbin;os;8
hurapatriota;os;8
hurma;grp;3
hurrapatriota;os;8
hurtnica;zw;8
hurtnica czarna;zw;9
hurtnica podobna;zw;9
hurtnica wstydliwa;zw;8
hurtnica zwyczajna;zw;9
hurtownia;msc;8
hurtownia;zwz;5
hurtownik;os;5
hurysa;os;10
hurysa;os;7
husaria;grp;6
husarz;os;8
husky;zw;8
husyta;os;10
huta;msc;8
huta szkła;msc;8
hutnik;os;8
huzar;os;8
hybryd;cech;3
hybryda;cech;3
hycel;os;9
Hydra;zw;4
hydra;zw;6
Hydra lernejska;zw;4
hydraulik;os;8
hydroakustyk;os;8
hydroakustyk;os;9
hydrobiolog;os;8
hydrobudowa;msc;8
hydroelektrownia;msc;9
hydroenergetyk;os;9
hydrogeolog;os;7
hydrograf;os;8
hydrolog;os;8
hydromechanik;os;8
hydropata;os;12
hydrotechnik;os;8
hydroterapeuta;os;12
iberysta;os;10
iblis;os;4
ichneumon;zw;6
ichneumon;zw;7
ichtiolog;os;9
ichtiostega;zw;5
ichtiozaur;zw;5
ideał;st;3
ideał;cech;6
idealista;os;7
idealista;os;8
ideolog;os;7
ideowiec;os;7
idiota;os;6
idiota;os;9
idol;os;7
iglarz;os;6
iglicznia;zw;9
ignorant;os;7
igraszka;os;7
igrek;os;4
iguana;zw;9
iguanodon;zw;6
igumen;os;6
ihumen;os;6
ikona;st;4
ikonoburca;os;7
ikonograf;os;9
ikonoklasta;os;7
ikonolog;os;9
ikrzak;zw;5
iks;os;4
iluminator;os;10
ilustrator;os;10
iluzjonista;os;6
iluzjonista;os;9
imaginista;os;9
imagista;os;9
imago;zwz;7
imam;os;6
imamista;os;10
imamita;os;10
imbecyl;os;6
imbecyl;os;9
imiennik;os;6
imigrant;os;6
imitator;os;7
immunolog;os;11
impala;zw;8
imperator;os;6
imperator;os;7
imperialista;os;8
imperium;grp;5
imperium brytyjskie;msc;6
imperium osmańskie;msc;6
imperium ottomańskie;msc;6
impertynent;os;6
importer;os;5
importer;pos;2
impotent;os;7
impresariat;grp;4
impresario;os;7
impresjonista;os;9
imprezowicz;os;7
improwizator;os;5
improwizator;os;9
independent;os;10
indeterminista;os;8
Indianin;os;6
indianista;os;8
indoeuropeista;os;9
indolog;os;9
Indonezyjczyk;os;6
indor;zw;5
indosant;os;4
Indus;os;7
indyczę;zw;6
indygena;os;6
indyk;zw;8
indywidualista;os;7
indywidualista;os;8
indywidualność;os;6
indywiduum;os;4
infamis;os;5
infant;os;7
infantka;os;10
infirmeria;msc;4
informator;os;6
informator;os;9
informatyk;os;6
infułat;os;9
inia;zw;10
inicjator;os;5
inicjatywa prywatna;os;4
inicjatywa prywatna;pos;5
inkasent;os;8
inkub;os;4
inkunabulista;os;8
inkwizycja;zwz;3
inkwizycja;zwz;4
inkwizytor;os;8
innoplemieniec;os;5
innowator;os;7
innowierca;os;5
inscenizator;os;8
insekt;zw;7
inseminator;os;9
inspektor;os;8
inspektor;os;9
inspektorat;zwz;5
inspektorat pracy;zwz;6
inspektorat szkolny;zwz;6
inspektor bankowy;os;9
inspektor pracy;os;9
inspektor szkolny;os;9
inspicjent;os;8
inspirator;os;6
instalator;os;8
instruktor;os;6
instrumentalista;os;9
instrumentariusz;os;9
instygator;os;7
instytucja;zwz;2
instytucja;zwz;3
instytucja finansowa;zwz;3
instytucja kulturalna;zwz;3
instytucja naukowa;zwz;3
instytucja niepubliczna;zwz;3
instytucja opiekuńcza;zwz;3
instytucja publiczna;zwz;3
instytut;zwz;3
insynuator;os;8
integrysta;os;10
intelektualista;os;8
intelektualista;os;9
inteligent;os;6
intendent;os;5
intendent naczelny;os;6
interakcjonista;os;8
interes;zwz;4
interesant;os;4
interliga;wytw;3
interlokutor;os;9
internacjonał;os;6
internacjonał;os;8
internacjonalista;os;8
internatowiec;os;6
internauta;os;3
internista;os;10
internowany;os;6
internuncjusz apostolski;os;9
interpelant;os;8
interpelator;os;8
Interpol;zwz;5
interpretator;os;3
interpretator;os;5
interpretator;os;6
interreks;os;10
interwenient;os;5
interwent;os;5
introligator;os;7
introspekcjonista;os;9
introwertyk;os;6
intruz;os;5
intrygant;os;7
intuicjonista;os;8
Inuit;os;7
Inuita;os;7
inwalida;os;6
inwalida wojenny;os;7
inwentaryzator;os;7
inwestor;os;4
inwestor strategiczny;os;5
inwigilator;os;7
inżynier;os;7
inżynier górnictwa;os;8
inżynierostwo;grp;4
inżynierowa;os;8
inżynier wojskowy;os;8
Irakijczyk;os;6
Irańczyk;os;6
iranista;os;9
irbis;zw;8
irenista;os;8
Irlandczyk;os;6
Irokez;os;7
ironista;os;8
irredentysta;os;8
iskra;os;7
islamista;os;8
islamista;os;9
Islandczyk;os;6
Istari;os;5
istota;os;1
istota fantastyczna;zw;2
istota ludzka;os;3
istota mitologiczna;zw;3
istota nadprzyrodzona;os;3
istota żywa;zw;2
italianiec;os;7
italianista;os;10
italofil;os;9
izba;zwz;3
izba;zwz;4
izba;zwz;5
izba deputowanych;grp;6
Izba Lordów;grp;6
izba niższa;grp;5
Izba Parów;grp;6
izba poselska;grp;6
izba senacka;grp;7
izba wyższa;grp;5
izolacjonista;os;8
Izraelczyk;os;6
Izraelita;os;6
izraelita;os;8
jachtklub;grp;4
jadak;os;6
jadłodajnia;msc;8
jądrowiec;os;8
jądrowiec;os;9
jagnię;zw;5
jaguar;zw;7
jajogłowy;os;10
jak;zw;6
jąkała;os;7
jakobin;os;8
jakobini;grp;4
jakobita;os;9
jakuza;grp;5
jałmużnik;os;11
jałmużnik;os;6
jałmużnik;os;8
jałoszka;zw;7
jałóweczka;zw;6
jałowica;zw;7
jałówka;zw;6
Jamajczyk;os;6
jamniczek;zw;9
jamnik;zw;8
jamochłon;zw;5
jamraj;zw;8
Jan;os;8
janczar;os;8
Jankes;os;7
jansenista;os;10
japiszon;grp;5
Japończyk;os;6
Japoniec;os;7
japonista;os;9
jarl;os;7
jarosławianin;os;7
jarosz;os;6
jarząbek;zw;8
jarzyniarz;os;10
jarzyniarz;os;6
jaskiniowiec;os;6
jaskółka;zw;8
jaskółka brzegówka;zw;9
jaskółka dymówka;zw;9
jaskółka oknówka;zw;9
jaślanin;os;7
jaśniepan;os;7
jasnowidz;os;6
jasnowidzący;os;6
jastrząb;zw;7
jastrząb;zw;8
jastrząbek;zw;5
jastrząb gołębiarz;zw;8
jasyr;grp;2
jaszczur;zw;8
jaszczurka;zw;8
jaszczurka zwinka;zw;9
jaszczur latający;zw;5
jatka;msc;6
jątrzyciel;os;7
Jawajczyk;os;7
jaź;zw;9
jazda;grp;5
jazgarz;zw;9
jaźwiec;zw;5
jazz-band;grp;5
jazzband;grp;5
jazz-klub;msc;10
jaź złoty;zw;10
jazzman;os;9
jebak;os;7
jebaka;os;7
jedenastolatek;os;7
jednoosobowa spółka skarbu państwa;pos;5
jednorożec;zw;4
jednostka;grp;3
jednostka;os;3
jednostka garnizonowa;grp;5
jednostka gospodarcza;zwz;3
jednostka taktyczna;grp;7
jednota;grp;3
jednotarczowiec;zw;5
jedwabnik;zw;9
jedwabnik dębowy;zw;10
jedwabnik morwowy;zw;10
jedynaczka;os;10
jedynak;os;11
jedynowładca;os;6
jędza;os;4
jędza;os;8
jegier;os;7
jegomość;os;7
jehowa;os;9
jehowita;os;9
jehowy;os;9
jejmość;os;7
jelec;zw;9
jeleń;os;8
jeleń;zw;5
jelonek;zw;5
jelonek rogacz;zw;8
jełop;os;7
Jemeńczyk;os;6
jemiołuszka;zw;8
jenerał;os;9
jenerałowa;os;9
jeniec;os;7
jenot;zw;5
jer;zw;9
jerzyk;zw;8
jesiotr;zw;9
jesziba;umy;5
jesziwa;umy;5
jętka;zw;8
jeż;zw;8
jeżatka;zw;9
jezdny;os;7
jeździec;os;6
jeż morski;zw;6
jeżowiec;zw;6
jeżówka;zw;9
jeżozwierz;zw;8
jezuita;os;10
jeż wschodni;zw;9
język;os;8
językowiec;os;7
językoznawca;os;7
jeż zachodni;zw;9
joannita;os;8
jodler;os;10
jog;os;7
jogin;os;7
jołop;os;7
jork;zw;9
jubilat;os;6
jubiler;os;6
judaista;os;8
judaista;os;9
judasz;os;6
judenrat;grp;3
judeochrześcijanin;os;7
judok;os;7
judoka;os;7
judowiec;os;7
judziciel;os;6
jugol;os;8
Jugosłowianin;os;7
juhas;os;8
Jukagir;os;6
jumper;os;7
junak;os;7
junak;os;8
jung;os;7
junga;os;7
junior;os;6
junior;os;9
junkier;os;4
junkier;os;7
junta;zwz;5
jurgieltnik;os;8
juror;os;9
jury;grp;4
jurysta;os;6
justycjariusz;os;10
kabalarz;os;8
kabalista;os;8
kaban;os;10
kaban;zw;6
kaban;zw;7
kabareciarz;os;5
kabarecista;os;5
kabaret;grp;5
kabel;os;8
kabina reżyserska;msc;7
kabotyn;os;7
kacap;os;7
kacerz;os;6
kacyk;os;8
kaczątko;zw;5
kaczenica;zw;8
kaczka;zw;8
kaczka czernica;zw;8
kaczka domowa;zw;8
kaczka edredonowa;zw;9
kaczka krzyżówka;zw;8
kaczkarz;os;6
kaczor;zw;5
kadet;os;7
kadi;os;8
kadra;grp;3
kadra;grp;5
kadrowicz;os;7
kadrowiec;os;9
kadrówka;grp;8
kadrowy;os;9
kaemista;os;7
kafar;os;8
kafarnik;os;8
kafejka;msc;8
kafejkarz;os;4
kafelkarz;os;8
kafeteria;msc;8
kafir;os;6
kafir;os;8
kaflarnia;msc;8
kaflarz;os;6
kaflarz;os;7
kahał;grp;5
kahał;zwz;5
kahuna;os;7
kaid;os;8
kajakarz;os;7
kajakowicz;os;7
kajdaniarz;os;7
kajman;zw;8
kajman krokodylowy;zw;9
kajman okularowy;zw;9
kajman szerokopyski;zw;9
kajman żakare;zw;9
kajtek;os;7
kajzer;os;7
kaktusiarz;os;7
kałamarnica;zw;7
kalamburzysta;os;7
kałan;zw;6
kalefaktor;os;6
kaleka;os;6
kaletnik;os;6
kalif;os;5
kalifaktor;os;6
kalifat;grp;3
kalifat;grp;6
kaligraf;os;7
kaligrafista;os;7
kalikancista;os;6
kalikant;os;6
kalikstyn;os;11
kaliszanin;os;7
kalkulator;os;10
kalkulator;os;7
kalmar;zw;7
kałmuk;os;6
kałmuk;zw;9
kalong;zw;9
kalwin;os;10
kalwinista;os;10
kama;zw;7
kamaryla;grp;2
kamasznik;os;9
kameduła;os;8
kameleon;os;6
kameleon;zw;8
kamena;os;4
kameralista;os;7
kamerdyner;os;9
kamerjunkier;os;12
kamerling;os;10
kamerzysta;os;8
kamieniarz;os;6
kamienicznik;os;4
kamieniołom;msc;8
kamikadze;os;6
kamikadze;os;8
kamikaze;os;6
kamikaze;os;8
kamilianin;os;10
kamizard;os;11
kamora;grp;5
kamorra;grp;5
kamrat;os;6
kamusznik;zw;8
kamusznik czarnogłowy;zw;8
Kanadyjczyk;os;6
kanadyjkarz;os;7
kanafarz;os;10
kanalarz;os;7
kanalia;os;7
kanapowiec;os;9
kanapowiec;zw;7
kanar;os;8
kanarek;zw;8
kancelista;os;9
kanciarz;os;6
kanclerstwo;zwz;5
kanclerz;os;10
kanclerz;os;5
kandydat;os;5
kanefora;os;8
kangur;zw;9
kania;zw;7
kanibal;os;6
kanibal;os;7
kanię;zw;6
kanna;zw;7
kanonier;os;8
kanonik;os;9
kanonista;os;7
kantaryda;zw;8
kantonista;os;7
kantor;os;12
kantor;os;5
kantor;os;9
kantor;zwz;4
kantorzysta;os;8
kantyna;msc;9
kantyniarz;os;4
kantysta;os;8
kaowiec;os;8
kapcan;os;6
kapela;grp;4
kapela ludowa;grp;4
kapelan;os;8
kapelmistrz;os;8
kapelusznik;os;6
kaper;os;8
kaperiusz;os;8
kapibara;zw;9
kąpielowicz;os;6
kapista;os;9
kapitał;grp;3
kapitalista;os;3
kapitalista;os;4
kapitalista;os;6
kapitan;os;7
kapitan;os;8
kapitanat;zwz;4
kapitanat;zwz;5
kapitanostwo;grp;4
kapitanowa;os;8
kapituła;grp;3
kapituła katedralna;grp;4
kapitulant;os;7
kapłan;os;6
kapłan;os;7
kapłon;zw;6
kapnik;os;7
