lemma;variant;domain;lemma;variant;domain
dezorientacja;1;6;dezorientować;1;30
kapitulacja;1;2;kapitulować;1;31
powrót;1;8;powrócić;1;36
rozwód;1;8;rozwodzić się;2;39
separacja;2;8;separować;2;39
abdykacja;1;8;abdykować;1;39
adoracja;2;7;adorować;1;39
chrzest;1;8;chrzcić;1;39
flirt;1;9;flirtować;1;39
zaloty;1;2;zalecać się;1;29
hołd;2;8;hołdować;2;39
pochówek;1;8;pochować;1;39
promieniowanie;2;16;promieniować;2;34
wyciek;1;16;wyciekać;1;36
dystrybucja;1;2;dystrybuować;1;38
użytkowanie;2;2;użytkować;2;38
ewakuacja;1;2;ewakuować;1;36
import;1;18;importować;1;38
magazynowanie;1;2;magazynować;1;38
odbiór;1;2;odbierać;2;38
odbiór;2;7;odbierać;3;37
odpływ;1;16;odpływać;4;36
przejmowanie;1;2;przejmować;1;38
transfer;1;18;transferować;1;38
wypływ;3;16;wypływać;1;36
znakowanie;1;2;znakować;1;30
ubój;1;8;ubić;3;31
czuwanie;2;2;czuwać;1;40
kąpiel;1;8;kąpać;1;33
kuracja;1;2;kurować;1;39
mediacja;1;7;mediować;1;39
reanimacja;1;8;reanimować;2;39
blef;2;8;blefować;2;39
gadanina;1;7;gadać;1;30
konspiracja;2;7;konspirować;2;30
zagrywka;1;2;zagrywać;2;39
naśladownictwo;1;2;naśladować;2;29
kremacja;1;8;kremować;2;28
egzorcyzm;1;8;egzorcyzmować;1;39
praca;2;2;pracować;4;40
centra;2;8;centrować;1;36
kontratak;1;8;kontratakować;1;31
nokaut;2;8;nokautować;1;33
trafienie;9;13;trafić;9;33
przeszczep;2;8;przeszczepiać;1;33
rozszczepienie;1;19;rozszczepiać;2;28
rozszczepienie;1;19;rozszczepiać się;1;28
czkawka;1;19;czkać;1;34
doping;1;26;dopingować;1;30
mruczenie;3;16;mruczeć;2;30
odrzut;3;19;odrzucić;7;28
pchnięcie;2;8;pchnąć;2;31
poryw;2;23;porywać;4;38
skrzyp;2;16;skrzypieć;1;34
trucht;2;23;truchtać;1;36
wytrysk;2;8;wytryskać;1;36
wytrysk;1;16;wytryskiwać;2;36
dedukcja;1;6;dedukować;1;29
dociekanie;1;6;dociekać;1;29
nowelizacja;1;23;nowelizować;1;39
ułaskawienie;2;8;ułaskawić;1;39
bojkot;1;8;bojkotować;1;39
podział;1;8;podzielić;2;28
transmisja;1;2;transmitować;1;30
przekaz;1;2;przekazywać;2;28
formalizacja;1;2;formalizować;1;39
formalizacja;2;6;formalizować;2;29
kooperacja;1;2;kooperować;1;39
lobbing;1;26;lobbować;1;39
rozróżnienie;1;8;rozróżnić;1;37
spekulacja;1;6;spekulować;1;29
spekulacja;2;18;spekulować;3;38
zespolenie;3;8;zespolić;1;34
współżycie;2;8;współżyć;1;33
decentralizacja;1;8;decentralizować;1;28
centralizacja;1;8;centralizować;1;28
komputeryzacja;1;23;komputeryzować;1;28
oddzielenie;2;8;oddzielić;2;34
podporządkowanie;1;23;podporządkować;1;39
pogorszenie;2;8;pogarszać;1;39
prywatyzacja;1;18;prywatyzować;1;38
przekształcanie;2;8;przekształcać;1;28
restrukturyzacja;1;8;restrukturyzować;1;39
rozgraniczenie;1;8;rozgraniczyć;1;28
unifikacja;1;8;unifikować;2;39
ulepszenie;2;23;ulepszyć;1;28
rekultywacja;1;2;rekultywować;1;28
rewaloryzacja;2;2;rewaloryzować;4;33
podłączenie;3;2;podłączyć;3;33
egzekwowanie;2;2;egzekwować;2;39
implementacja;2;8;implementować;1;34
chałtura;2;26;chałturzyć;1;39
idealizacja;1;6;idealizować;1;29
trawestacja;2;2;trawestować;2;29
irygacja;2;2;irygować;1;28
mobilizacja;1;8;mobilizować;4;39
upojenie;1;23;upoić;2;32
biadanie;1;7;biadać;1;35
konfirmacja;1;6;konfirmować;1;39
dyszenie;2;19;dyszeć;1;36
lob;1;8;lobować;1;36
łupienie;3;2;łupić;2;39
identyfikacja;1;2;identyfikować się;2;39
konserwacja;2;2;konserwować;2;34
rozeznanie;2;6;rozeznać;1;29
rewizja;2;26;rewidować;1;39
migotanie;3;16;migotać;2;40
realizacja;2;2;realizować;4;39
uzyskiwanie;2;2;uzyskiwać;2;34
weryfikacja;1;2;weryfikować;1;29
aktywizacja;1;2;aktywizować;1;39
popieranie;2;2;popierać;2;30
ujednolicenie;1;8;ujednolicać;1;39
zatrzymanie;1;8;zatrzymać się;1;36
ratyfikacja;1;6;ratyfikować;1;30
ukończenie;1;8;ukończyć;1;28
umorzenie;3;2;umorzyć;3;38
uzyskanie;2;8;uzyskać;2;34
zawarcie;1;6;zawrzeć;1;30
certyfikacja;1;2;certyfikować;1;39
homologacja;2;8;homologować;1;39
informatyzacja;1;23;informatyzować;1;28
konfiskata;1;8;konfiskować;1;38
legalizacja;1;2;legalizować;1;39
żebractwo;1;8;żebrać;2;39
naprawa;1;2;naprawiać;1;33
normalizacja;1;8;normalizować;3;39
obserwowanie;1;8;obserwować;1;37
obserwowanie;2;6;obserwować;1;37
reprywatyzacja;1;8;reprywatyzować;1;38
resocjalizacja;1;23;resocjalizować;1;39
stawianie;9;2;stawiać;6;38
utrudnianie;1;2;utrudniać;1;40
automatyzacja;1;23;automatyzować;1;28
emisja;1;16;emitować;1;28
emisja;3;2;emitować;2;30
pożarcie;1;2;pożreć;1;32
przekupstwo;1;2;przekupić;1;39
upolitycznienie;1;2;upolitycznić;1;39
