lemma;variant;domain;lemma;variant;domain
atak;1;zdarz;atakować;1;wal
najazd;1;zdarz;najechać;1;wal
napad;1;zdarz;napadać;1;wal
przemyt;1;czy;przemycać;1;sp
prześladowanie;2;st;prześladować;1;sp
bunt;2;zdarz;buntować się;1;sp
rozbój;1;zdarz;rozbić;9;sp
napad;4;por;napadać;2;cpor
włamanie;1;zdarz;włamać się;1;ruch
spowodowanie śmierci;1;czy;spowodować śmierć;1;zmn
napaść;2;por;napaść;2;cpor
prowokacja;1;zdarz;prowokować;1;sp
granie;2;por;grać;1;dtk
paplanina;1;por;paplać;1;cpor
rehabilitacja;1;czy;rehabilitować;1;dtk
rehabilitacja;3;por;rehabilitować;2;sp
dokończenie;1;zdarz;dokończyć;1;zmn
inwentaryzacja;1;wytw;inwentaryzować;1;cwyt
modernizacja;1;st;modernizować;1;zmn
instalacja;3;czy;instalować;1;cwyt
gimnastyka;2;czy;gimnastykować;1;ruch
masaż;1;zdarz;masować;1;dtk
kwesta;1;zdarz;kwestować;1;sp
spływ;1;czy;spływać;1;ruch
ekspedycja;3;czy;ekspediować;1;ruch
dezorientacja;1;umy;dezorientować;1;cpor
kapitulacja;1;czy;kapitulować;1;wal
powrót;1;zdarz;powrócić;1;ruch
rozwód;1;zdarz;rozwodzić się;2;sp
separacja;2;zdarz;separować;2;sp
abdykacja;1;zdarz;abdykować;1;sp
adoracja;2;por;adorować;1;sp
chrzest;1;zdarz;chrzcić;1;sp
flirt;1;czuj;flirtować;1;sp
zaloty;1;czy;zalecać się;1;cumy
hołd;2;zdarz;hołdować;2;sp
pochówek;1;zdarz;pochować;1;sp
promieniowanie;2;zj;promieniować;2;cwyt
wyciek;1;zj;wyciekać;1;ruch
dystrybucja;1;czy;dystrybuować;1;cpos
użytkowanie;2;czy;użytkować;2;cpos
ewakuacja;1;czy;ewakuować;1;ruch
import;1;pos;importować;1;cpos
magazynowanie;1;czy;magazynować;1;cpos
odbiór;1;czy;odbierać;2;cpos
odbiór;2;por;odbierać;3;pst
odpływ;1;zj;odpływać;4;ruch
przejmowanie;1;czy;przejmować;1;cpos
transfer;1;pos;transferować;1;cpos
wypływ;3;zj;wypływać;1;ruch
znakowanie;1;czy;znakować;1;cpor
ubój;1;zdarz;ubić;3;wal
czuwanie;2;czy;czuwać;1;cst
kąpiel;1;zdarz;kąpać;1;dtk
kuracja;1;czy;kurować;1;sp
mediacja;1;por;mediować;1;sp
reanimacja;1;zdarz;reanimować;2;sp
blef;2;zdarz;blefować;2;sp
gadanina;1;por;gadać;1;cpor
konspiracja;2;por;konspirować;2;cpor
zagrywka;1;czy;zagrywać;2;sp
naśladownictwo;1;czy;naśladować;2;cumy
kremacja;1;zdarz;kremować;2;zmn
egzorcyzm;1;zdarz;egzorcyzmować;1;sp
praca;2;czy;pracować;4;cst
centra;2;zdarz;centrować;1;ruch
kontratak;1;zdarz;kontratakować;1;wal
nokaut;2;zdarz;nokautować;1;dtk
trafienie;9;cel;trafić;9;dtk
przeszczep;2;zdarz;przeszczepiać;1;dtk
rozszczepienie;1;prc;rozszczepiać;2;zmn
rozszczepienie;1;prc;rozszczepiać się;1;zmn
czkawka;1;prc;czkać;1;cwyt
doping;1;zwz;dopingować;1;cpor
mruczenie;3;zj;mruczeć;2;cpor
odrzut;3;prc;odrzucić;7;zmn
pchnięcie;2;zdarz;pchnąć;2;wal
poryw;2;st;porywać;4;cpos
skrzyp;2;zj;skrzypieć;1;cwyt
trucht;2;st;truchtać;1;ruch
wytrysk;2;zdarz;wytryskać;1;ruch
wytrysk;1;zj;wytryskiwać;2;ruch
dedukcja;1;umy;dedukować;1;cumy
dociekanie;1;umy;dociekać;1;cumy
nowelizacja;1;st;nowelizować;1;sp
ułaskawienie;2;zdarz;ułaskawić;1;sp
bojkot;1;zdarz;bojkotować;1;sp
podział;1;zdarz;podzielić;2;zmn
transmisja;1;czy;transmitować;1;cpor
przekaz;1;czy;przekazywać;2;zmn
formalizacja;1;czy;formalizować;1;sp
formalizacja;2;umy;formalizować;2;cumy
kooperacja;1;czy;kooperować;1;sp
lobbing;1;zwz;lobbować;1;sp
rozróżnienie;1;zdarz;rozróżnić;1;pst
spekulacja;1;umy;spekulować;1;cumy
spekulacja;2;pos;spekulować;3;cpos
zespolenie;3;zdarz;zespolić;1;cwyt
współżycie;2;zdarz;współżyć;1;dtk
decentralizacja;1;zdarz;decentralizować;1;zmn
centralizacja;1;zdarz;centralizować;1;zmn
komputeryzacja;1;st;komputeryzować;1;zmn
oddzielenie;2;zdarz;oddzielić;2;cwyt
podporządkowanie;1;st;podporządkować;1;sp
pogorszenie;2;zdarz;pogarszać;1;sp
prywatyzacja;1;pos;prywatyzować;1;cpos
przekształcanie;2;zdarz;przekształcać;1;zmn
restrukturyzacja;1;zdarz;restrukturyzować;1;sp
rozgraniczenie;1;zdarz;rozgraniczyć;1;zmn
unifikacja;1;zdarz;unifikować;2;sp
ulepszenie;2;st;ulepszyć;1;zmn
rekultywacja;1;czy;rekultywować;1;zmn
rewaloryzacja;2;czy;rewaloryzować;4;dtk
podłączenie;3;czy;podłączyć;3;dtk
egzekwowanie;2;czy;egzekwować;2;sp
implementacja;2;zdarz;implementować;1;cwyt
chałtura;2;zwz;chałturzyć;1;sp
idealizacja;1;umy;idealizować;1;cumy
trawestacja;2;czy;trawestować;2;cumy
irygacja;2;czy;irygować;1;zmn
mobilizacja;1;zdarz;mobilizować;4;sp
upojenie;1;st;upoić;2;cjedz
biadanie;1;por;biadać;1;cczuj
konfirmacja;1;umy;konfirmować;1;sp
dyszenie;2;prc;dyszeć;1;ruch
lob;1;zdarz;lobować;1;ruch
łupienie;3;czy;łupić;2;sp
identyfikacja;1;czy;identyfikować się;2;sp
konserwacja;2;czy;konserwować;2;cwyt
rozeznanie;2;umy;rozeznać;1;cumy
rewizja;2;zwz;rewidować;1;sp
migotanie;3;zj;migotać;2;cst
realizacja;2;czy;realizować;4;sp
uzyskiwanie;2;czy;uzyskiwać;2;cwyt
weryfikacja;1;czy;weryfikować;1;cumy
aktywizacja;1;czy;aktywizować;1;sp
popieranie;2;czy;popierać;2;cpor
ujednolicenie;1;zdarz;ujednolicać;1;sp
zatrzymanie;1;zdarz;zatrzymać się;1;ruch
ratyfikacja;1;umy;ratyfikować;1;cpor
ukończenie;1;zdarz;ukończyć;1;zmn
umorzenie;3;czy;umorzyć;3;cpos
uzyskanie;2;zdarz;uzyskać;2;cwyt
zawarcie;1;umy;zawrzeć;1;cpor
